name
2-1B
4-LOM
8D8
99
0-0-0
A'Koba
Admiral Gial Ackbar
Sim Aloo
PZ-4CO
Ben Quadinaros
Quarrie
Quiggold


R2-D2
R2-KT
R3-S6
R4-P17
R5-D4
RA-7
Rabé
Admiral Raddus
Dak Ralter
Oppo Rancisis
Admiral Dodd Rancit
Rappertunie

Sinjir Rath Velus
Gallius Rax
Eneb Ray
Max Rebo
Ciena Ree
Ree-Yees


Kylo Ren

Captain Rex

Rey
Carlist Rieekan
Riley

Rogue Squadron
Romba
Bodhi Rook
Pagetti Rook
Rotta the Hutt
Rukh
Sabé
Saché
Sarkli
Admiral U.O. Statura
Joph Seastriker
Miraj Scintel
Admiral Terrinald Screed
Sebulba
Aayla Secura
Korr Sella
Zev Senesca
Echuu Shen-Jon
Sifo-Dyas
Aurra Sing


Anakin Skywalker

Luke Skywalker
Shmi Skywalker
The Smuggler
Snaggletooth

Supreme Leader Snoke
Sy Snootles
Osi Sobeck

Han Solo
Greer Sonnel
Sana Starros
Lama Su
Mercurial Swift
Gavyn Sykes
Cham Syndulla
Hera Syndulla
Orn Free Taa
Cassio Tagge
Mother Talzin
Wat Tambor
Riff Tamson


Ahsoka Tano
Tarfful
Jova Tarkin

Grand Moff Wilhuff Tarkin
Roos Tarpals
TC-14
Berch Teller
Teebo
Teedo
Tessek
Lor San Tekka
Petty Officer Thanisson
Inspector Thanoth
Lieutenant Thire

Grand Admiral Thrawn
C'ai Threnalli
Shaak Ti
Paige Tico
Rose Tico
Saesee Tiin
Bala-Tik
Meena Tills
Bargwill Tomder
Wag Too
Coleman Trebor
Admiral Trench
Strono Tuggs
Tup
Letta Turmond
Longo Two-Guns

Gregar Typho
Ratts Tyerell
U9-C4
Luminara Unduli
Finis Valorum
Eli Vanto
Nahdar Vebb
Maximilian Veers

Asajj Ventress
Evaan Verlainem
Garrick Versio
Iden Versio
Lanever Villecham
Nuvo Vindi
Tulon Voidgazer
Quinlan Vos
WAC-47
Wald
Warok
Wicket W. Warrick

Watto
Taun We
Zam Wesell

Norra Wexley

"Temmin ""Snap"" Wexley"
Vanden Willard

Mace Windu
Commander Wolffe
Wollivan
Sabine Wren
Wuher
Yaddle

Yoda
Joh Yowza
Wullf Yularen
Ziro the Hutt
Zuckuss
Constable Zuvio
